date,team1,team2,result
24.03. 16:00,Portugal U20,Netherlands U20,1 : 1
24.03. 15:00,Austria U21,Ukraine U21,0 : 1
24.03. 15:00,Malta,Moldova,0 : 0
24.03. 12:45,Singapore,Myanmar,2 : 1
24.03. 12:00,Paraguay U20,Uruguay U20,2 : 2
24.03. 06:00,Solomon Islands,Papua New Guinea,2 : 0
23.03. 20:45,Poland,Serbia,1 : 0
23.03. 20:00,Gibraltar,Liechtenstein,0 : 0
23.03. 19:00,Romania,Lithuania,1 : 0
23.03. 18:30,Austria U18,England U18,2 : 3
23.03. 18:00,Croatia,Israel,2 : 0
23.03. 18:00,Poland U21,Finland U21,1 : 0
23.03. 18:00,Slovenia,FYR Macedonia,1 : 0
23.03. 17:30,Slovakia U21,Estonia U23,4 : 0
23.03. 17:00,Poland U20,Italy U20,0 : 3
23.03. 15:00,Germany U20,Switzerland U20,1 : 1
22.03. 22:00,Paraguay U20,Uruguay U20,4 : 3
20.03. 01:00,Grenada,Trinidad & Tobago,2 : 2
19.03. 12:00,Chinese Taipei,Guam,3 : 2
18.03. 16:00,United Arab Emirates,Bangladesh,6 : 1
18.03. 12:00,Iraq,Syria,0 : 1
16.03. 02:30,Nicaragua,Panama,1 : 0
10.03. 15:00,Romania U19,Finland U19,2 : 1
10.03. 02:30,Nicaragua,El Salvador,1 : 1
09.03. 18:00,Switzerland U19,Ukraine U19,3 : 0
09.03. 14:30,Italy U18,Switzerland U18,1 : 1
03.03. 03:00,Guatemala,El Salvador,1 : 0
01.03. 20:45,Ireland U17,Switzerland U17,1 : 1
01.03. 14:30,Montenegro U19,Georgia U19,2 : 0
01.03. 13:00,Azerbaijan U17,Ukraine U17,0 : 2
27.02. 17:00,Egypt,Burkina Faso,2 : 0
25.02. 14:00,Serbia U17,Bulgaria U17,3 : 3
25.02. 13:00,Azerbaijan U17,Russia U17,1 : 0
25.02. 13:00,Turkey U19,Czech Republic U19,2 : 3
25.02. 12:00,Slovenia U19,Austria U19,1 : 1
25.02. 11:30,Croatia U17,Slovakia U17,0 : 2
24.02. 15:00,Bulgaria U19,Serbia U19,0 : 2
23.02. 15:00,Slovenia U19,Austria U19,0 : 0
23.02. 14:00,Croatia U17,Slovakia U17,3 : 1
22.02. 01:30,Guyana,Suriname,2 : 0
22.02. 01:00,Saint Kitts and Nevis,Bermuda,3 : 0
18.02. 11:00,Italy U17,Serbia U17,4 : 2
18.02. 02:30,Panama,El Salvador,1 : 0
15.02. 16:00,Israel U19,Romania U19,1 : 0
15.02. 16:00,Norway U19,Portugal U19,1 : 2
15.02. 13:00,Poland U19,Slovakia U19,0 : 1
14.02. 16:00,Sweden U17,Norway U17,2 : 0
14.02. 13:00,Czech Republic U17,Turkey U17,1 : 1
14.02. 13:00,Uzbekistan,Lebanon,2 : 0
13.02. 16:00,Norway U19,Poland U19,2 : 3
13.02. 13:00,Portugal U19,Slovakia U19,1 : 1
12.02. 16:00,Czech Republic U17,Sweden U17,1 : 2
12.02. 13:00,Turkey U17,Norway U17,1 : 0
11.02. 16:00,Poland U19,Portugal U19,2 : 2
11.02. 13:00,Slovakia U19,Norway U19,0 : 1
11.02. 03:00,Guatemala,Honduras,3 : 1
11.02. 02:36,Mexico,Senegal,2 : 0
09.02. 16:00,Portugal U17,Germany U17,0 : 5
09.02. 15:00,England U17,Netherlands U17,0 : 2
06.02. 04:15,USA,Canada,1 : 0
05.02. 16:30,Portugal U17,England U17,1 : 1
05.02. 16:00,Bahrain,Lebanon,2 : 0
05.02. 15:30,Netherlands U17,Germany U17,0 : 1
04.02. 14:30,Greece U19,Czech Republic U19,0 : 1
03.02. 01:00,Venezuela,Costa Rica,1 : 0
02.02. 14:30,Greece U19,Czech Republic U19,1 : 1
31.01. 21:45,USA,Iceland,3 : 2
29.01. 17:00,Egypt,Libya,2 : 0
28.01. 02:00,Nicaragua,Honduras,1 : 3
27.01. 17:00,Egypt,Jordan,0 : 1
24.01. 13:00,Slovakia U17,Finland U17,2 : 1
22.01. 14:30,Slovakia U17,Russia U17,1 : 1
22.01. 13:00,Lok. Tashkent,Slovakia U21,2 : 0
20.01. 20:00,Spain U19,Italy U19,1 : 2
20.01. 16:45,Slovakia U17,Belarus U17,0 : 1
19.01. 13:30,Maldives,Nepal,1 : 4
19.01. 12:45,Jeonbuk,Slovakia U21,1 : 2
18.01. 15:30,Iran U17,Slovakia U17,2 : 3
17.01. 15:20,Latvia U17,Slovakia U17,1 : 1
16.01. 15:20,United Arab Emirates,Iceland,2 : 1
13.01. 17:00,Finland,Iceland,0 : 1
13.01. 14:00,Uganda,Cameroon,0 : 0
11.01. 15:00,Nigeria,Ivory Coast,1 : 0
11.01. 10:45,Maldives,Cambodia,3 : 2
10.01. 17:00,Rwanda,D.R. Congo,1 : 0
10.01. 15:45,Finland,Sweden,0 : 3
10.01. 13:00,Uganda,Gabon,1 : 1
07.01. 15:20,Saudi Arabia U23,South Korea U23,0 : 0
07.01. 14:30,Japan U23,Vietnam U23,2 : 0
06.01. 16:45,Sweden,Estonia,1 : 1
06.01. 14:30,Rwanda,Cameroon,1 : 1
23.12. 12:00,Estonia U19,Latvia U19,2 : 1
17.12. 14:00,Israel U18,Ukraine U18,0 : 1
17.12. 13:00,Bangladesh,Nepal,1 : 0
17.12. 12:00,Serbia U18,Germany U18,1 : 5
16.12. 22:00,Honduras,Cuba,2 : 0
16.12. 01:00,Costa Rica,Nicaragua,1 : 0
15.12. 14:00,Israel U18,Germany U18,3 : 2
15.12. 14:00,Serbia U18,Ukraine U18,1 : 2
14.12. 14:00,Germany U18,Ukraine U18,1 : 0
14.12. 14:00,Israel U18,Serbia U18,0 : 1
12.12. 02:00,Nicaragua,Cuba,1 : 0
10.12. 11:00,Serbia U17,Hungary U17,1 : 1
09.12. 02:00,Nicaragua,Cuba,5 : 0
30.11. 13:00,Ireland U18,Czech Republic U18,1 : 3
17.11. 21:00,England,France,2 : 0
17.11. 20:45,Austria,Switzerland,1 : 2
17.11. 20:45,Ireland U21,Norway U21,0 : 0
17.11. 20:45,Italy,Romania,2 : 2
17.11. 20:45,Poland,Czech Republic,3 : 1
17.11. 20:45,Slovakia,Iceland,3 : 1
17.11. 20:30,Luxembourg,Portugal,0 : 2
17.11. 19:15,Turkey,Greece,0 : 0
17.11. 18:00,Azerbaijan,Moldova,2 : 1
17.11. 18:00,Estonia,Saint Kitts and Nevis,3 : 0
17.11. 17:00,Russia,Croatia,1 : 3
17.11. 15:00,Italy U20,Switzerland U20,1 : 1
17.11. 13:00,FYR Macedonia,Lebanon,0 : 1
16.11. 20:00,Albania,Georgia,2 : 2
16.11. 18:00,Germany U20,Poland U20,0 : 0
16.11. 18:00,Poland U21,Ukraine U20,0 : 1
16.11. 17:00,Czech Republic U19,Netherlands U19,2 : 4
14.11. 21:00,Cuba,Santos Laguna,1 : 0
14.11. 17:00,Czech Republic U20,Netherlands U20,2 : 2
14.11. 15:00,Russia,Portugal,1 : 0
14.11. 14:00,Germany U18,Czech Republic U18,2 : 3
14.11. 08:00,Hong Kong,Macau,2 : 0
13.11. 20:45,Belgium,Italy,3 : 1
13.11. 20:45,Northern Ireland,Latvia,1 : 0
13.11. 20:45,Poland,Iceland,4 : 2
13.11. 20:45,Slovakia,Switzerland,3 : 2
13.11. 20:45,Spain,England,2 : 0
13.11. 20:45,Wales,Netherlands,2 : 3
13.11. 20:30,Czech Republic,Serbia,4 : 1
13.11. 19:30,Luxembourg,Greece,1 : 0
13.11. 18:30,Qatar,Turkey,1 : 2
13.11. 14:00,Kosovo,Albania,2 : 2
12.11. 19:00,Andorra,Saint Kitts and Nevis,0 : 1
12.11. 18:00,FYR Macedonia,Montenegro,4 : 1
12.11. 18:00,Germany U20,Italy U20,0 : 2
12.11. 18:00,Poland U21,Norway U21,1 : 0
12.11. 15:00,Italy U19,Czech Republic U19,4 : 1
12.11. 15:00,Oman,New Zealand,0 : 1
12.11. 10:30,Croatia U19,Belgium U19,1 : 1
11.11. 18:00,Austria U18,Italy U18,2 : 0
11.11. 18:00,Czech Republic U20,Netherlands U20,2 : 2
11.11. 18:00,Estonia,Georgia,3 : 0
11.11. 16:00,Jordan,Malta,2 : 0
11.11. 15:00,France U20,England U20,4 : 3
10.11. 05:10,Vanuatu,Fiji,2 : 1
07.11. 10:00,Hong Kong,Myanmar,5 : 0
07.11. 05:05,Vanuatu,Fiji,1 : 1
05.11. 15:15,United Arab Emirates,Turkmenistan,5 : 1
03.11. 12:30,Cambodia,Brunei,6 : 1
29.10. 18:00,Czech Republic U18,Switzerland U18,2 : 1
27.10. 17:00,Czech Republic U18,Switzerland U18,1 : 2
15.10. 11:00,Slovakia U19,Hungary U19,5 : 1
14.10. 05:30,Guatemala,El Salvador,1 : 1
14.10. 04:00,Mexico,Panama,1 : 0
14.10. 02:00,Honduras,South Africa,1 : 1
14.10. 01:00,Canada,Ghana,1 : 1
14.10. 01:00,Trinidad & Tobago,Nicaragua,0 : 0
14.10. 00:30,USA,Costa Rica,0 : 1
13.10. 21:30,Algeria,Senegal,1 : 0
13.10. 19:00,Denmark U19,Romania U19,4 : 1
13.10. 18:00,Germany U20,England U20,1 : 0
13.10. 17:00,Congo,Benin,2 : 1
13.10. 15:30,Iran,Japan,1 : 1
13.10. 15:00,Hungary U19,Slovakia U19,2 : 3
13.10. 13:00,South Korea,Jamaica,3 : 0
13.10. 12:00,Netherlands U20,Turkey U20,1 : 0
12.10. 21:00,Morocco,Guinea,1 : 1
12.10. 20:00,Gabon,D.R. Congo,1 : 2
12.10. 18:00,Denmark U20,Sweden U20,1 : 0
12.10. 18:00,Germany U19,Scotland U19,2 : 2
12.10. 17:00,Croatia U21,Russia U21,3 : 4
12.10. 15:00,Poland U19,Slovenia U19,0 : 1
12.10. 14:00,Ireland U19,Ukraine U19,1 : 2
12.10. 14:00,Israel U19,Cyprus U19,3 : 1
11.10. 20:45,Denmark,France,1 : 2
11.10. 20:00,Nigeria,Cameroon,3 : 0
11.10. 19:00,Egypt,Zambia,3 : 0
10.10. 11:00,Latvia U19,Norway U19,0 : 2
10.10. 03:00,El Salvador,Haiti,1 : 3
09.10. 20:00,Burkina Faso,Mali,1 : 4
09.10. 20:00,Morocco,Ivory Coast,0 : 1
09.10. 19:00,Algeria,Guinea,1 : 2
09.10. 19:00,Tunisia,Gabon,3 : 3
09.10. 14:00,Thailand,Hong Kong,1 : 0
09.10. 13:00,Chinese Taipei,Macau,5 : 1
09.10. 04:00,Costa Rica,South Africa,0 : 1
09.10. 03:30,Panama,Trinidad & Tobago,1 : 2
09.10. 03:00,Honduras,Guatemala,1 : 1
08.10. 20:45,France,Armenia,4 : 0
08.10. 19:00,Nigeria,D.R. Congo,0 : 2
08.10. 16:00,Latvia U19,Norway U19,1 : 0
08.10. 14:00,Serbia U18,Netherlands U18,0 : 4
08.10. 11:00,Czech Republic U16,Slovakia U16,2 : 2
08.10. 11:00,Laos,Malaysia,1 : 3
07.10. 18:00,Germany U20,Turkey U20,1 : 0
07.10. 18:00,Switzerland U19,Austria U19,0 : 1
07.10. 15:00,Italy U20,Poland U20,2 : 2
07.10. 12:00,England U20,Netherlands U20,3 : 1
06.10. 18:00,Germany U19,USA U19,8 : 1
06.10. 12:00,Mexico U19,Scotland U19,1 : 3
06.10. 11:00,Slovakia U16,Czech Republic U16,1 : 0
03.10. 16:00,Jordan,Iraq,3 : 0
02.10. 12:00,Oman,Syria,2 : 1
30.09. 16:00,Botswana,Ethiopia,2 : 3
23.09. 22:30,Cuba,Nicaragua,0 : 1
18.09. 16:00,Armenia U19,Moldova U19,1 : 0
17.09. 16:00,Finland U17,Slovakia U17,1 : 1
16.09. 16:00,Armenia U19,Moldova U19,2 : 3
15.09. 17:00,Finland U17,Slovakia U17,0 : 0
12.09. 15:30,Rwanda,Gabon,0 : 1
09.09. 04:30,Argentina,Mexico,2 : 2
09.09. 04:00,Costa Rica,Uruguay,1 : 0
09.09. 02:00,Colombia,Peru,1 : 1
09.09. 02:00,USA,Brazil,1 : 4
08.09. 23:00,Ecuador,Honduras,2 : 0
08.09. 23:00,Venezuela,Panama,1 : 1
08.09. 21:00,France U21,Brazil U21,2 : 1
08.09. 19:00,Belgium U19,Poland U19,1 : 0
08.09. 19:00,South Africa,Senegal,1 : 0
08.09. 18:00,Poland U21,Sweden U21,0 : 0
08.09. 18:00,Switzerland U20,Italy U20,0 : 0
08.09. 18:00,Zambia,Gabon,1 : 1
08.09. 17:00,Ukraine U21,Denmark U21,1 : 3
08.09. 16:00,Nigeria,Niger,2 : 0
07.09. 20:45,France,Serbia,2 : 1
07.09. 20:30,England U20,Czech Republic U20,0 : 1
07.09. 19:00,Netherlands U19,Germany U19,1 : 2
07.09. 18:00,Italy U19,Ireland U19,2 : 1
07.09. 17:00,Poland U20,Germany U20,2 : 1
07.09. 17:00,Ukraine U19,France U19,1 : 0
07.09. 16:00,Croatia U19,England U19,1 : 1
07.09. 16:00,Cyprus U19,Greece U19,1 : 3
07.09. 16:00,Norway U18,Slovakia U18,0 : 1
07.09. 16:00,Serbia U19,Montenegro U19,1 : 0
07.09. 15:35,USA U19,Israel U19,2 : 0
07.09. 15:00,Belarus U19,Estonia U19,2 : 0
07.09. 15:00,Netherlands U20,France U20,0 : 2
07.09. 13:30,Myanmar,New Zealand,1 : 1
05.09. 23:00,Chile,Paraguay,3 : 2
05.09. 22:00,Costa Rica,Brazil,0 : 1
05.09. 19:00,Gabon,Sudan,4 : 0
05.09. 16:00,Sweden U18,Slovakia U18,2 : 2
05.09. 04:00,Mexico,Trinidad & Tobago,3 : 3
05.09. 03:30,Panama,Uruguay,0 : 1
05.09. 02:30,Argentina,Bolivia,7 : 0
05.09. 01:00,USA,Peru,2 : 1
04.09. 23:00,Venezuela,Honduras,0 : 3
04.09. 20:45,Portugal,France,0 : 1
04.09. 19:30,Turkey U21,Australia U23,0 : 1
04.09. 19:00,Netherlands U20,France U20,1 : 1
04.09. 18:00,Bulgaria U19,Scotland U19,0 : 1
04.09. 18:00,Germany U19,England U19,2 : 3
04.09. 17:00,Israel U19,Ukraine U19,0 : 2
04.09. 16:30,Finland U19,Czech Republic U19,0 : 0
03.09. 20:45,England U21,USA U23,1 : 0
03.09. 19:00,Portugal U19,Switzerland U19,2 : 0
03.09. 18:00,Germany U21,Denmark U21,2 : 1
03.09. 18:00,Italy U19,Netherlands U19,0 : 0
